File name;sequence;time parsed;rows inserted
/2014-2H/fond/2007/funds.txt;15;17.03.2015 15:21;2407
/2014-2H/fond/2008/fund_adj_factors.txt;16;17.03.2015 15:21;1
/2014-2H/fond/2008/fund_dividends.txt;16;17.03.2015 15:21;2346
/2014-2H/fond/2008/fund_prices.txt;16;17.03.2015 15:41;537049
/2014-2H/fond/2008/funds.txt;16;17.03.2015 15:41;2479
/2014-2H/fond/2009/fund_adj_factors.txt;17;17.03.2015 15:41;4
/2014-2H/fond/2009/fund_dividends.txt;17;17.03.2015 15:41;2344
/2014-2H/fond/2009/fund_prices.txt;17;17.03.2015 16:00;454587
/2014-2H/fond/2009/funds.txt;17;17.03.2015 16:00;2270
/2014-2H/fond/2010/fund_adj_factors.txt;18;17.03.2015 16:00;0
/2014-2H/fond/2010/fund_dividends.txt;18;17.03.2015 16:00;2043
/2014-2H/fond/2010/fund_prices.txt;18;17.03.2015 16:18;454558
/2014-2H/fond/2010/funds.txt;18;17.03.2015 16:18;1977
/2014-2H/fond/2011/fund_adj_factors.txt;19;17.03.2015 16:18;0
/2014-2H/fond/2011/fund_dividends.txt;19;17.03.2015 16:19;1789
/2014-2H/fond/2011/fund_prices.txt;19;17.03.2015 16:44;538613
/2014-2H/fond/2011/funds.txt;19;17.03.2015 16:44;2423
/2014-2H/fond/2012/fund_adj_factors.txt;20;17.03.2015 16:44;0
/2014-2H/fond/2012/fund_dividends.txt;20;17.03.2015 16:45;421
/2014-2H/fond/2012/fund_prices.txt;20;17.03.2015 17:02;408058
/2014-2H/fond/2012/funds.txt;20;17.03.2015 17:03;1903
/2014-2H/fond/2013/fund_adj_factors.txt;21;17.03.2015 17:03;0
/2014-2H/fond/2013/fund_dividends.txt;21;17.03.2015 17:03;245
/2014-2H/fond/2013/fund_prices.txt;21;17.03.2015 17:12;354691
/2014-2H/fond/2013/funds.txt;21;17.03.2015 17:13;1613
/2014-2H/fond/2014/fund_adj_factors.txt;22;17.03.2015 17:13;10
/2014-2H/fond/2014/fund_dividends.txt;22;17.03.2015 17:13;192
/2014-2H/fond/2014/fund_prices.txt;22;17.03.2015 17:28;344352
/2014-2H/fond/2014/funds.txt;22;17.03.2015 17:28;1559
/2014-2H/fond/2014/funds.txt;22;24.03.2015 22:08;1559
/2014-2H/equity_pd/equitypricedump_OAX_1980.xml;24;25.03.2015 17:34;0
/2014-2H/equity_pd/equitypricedump_OAX_1990.xml;24;25.03.2015 17:35;0
/2014-2H/equity_pd/equitypricedump_OAX_2000.xml;24;25.03.2015 17:35;0
/2014-2H/equity_pd/equitypricedump_OAX_2001.xml;24;25.03.2015 17:35;0
